epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11588.3,1.10974,0.55685,1.16262,0.97456,0.98132,0.98561,0.68466,1.22909,0.49658,1.22298,0.005842,0.005842,0.005842
44,11852.2,1.10312,0.55311,1.16324,0.97617,0.9816,0.98626,0.68538,1.2301,0.49213,1.22833,0.005743,0.005743,0.005743
45,12124.8,1.09813,0.55333,1.1593,0.97283,0.9805,0.9856,0.68483,1.23754,0.49169,1.23595,0.005644,0.005644,0.005644
46,12389.6,1.1075,0.55417,1.16467,0.97299,0.98048,0.98551,0.68279,1.24137,0.48626,1.23824,0.005545,0.005545,0.005545
47,12658.9,1.09736,0.54658,1.1583,0.9704,0.9805,0.9854,0.68515,1.23622,0.4858,1.23721,0.005446,0.005446,0.005446
48,12923,1.1012,0.54662,1.1603,0.97303,0.98187,0.98603,0.68795,1.23223,0.48854,1.23594,0.005347,0.005347,0.005347
49,13187.3,1.0865,0.54331,1.15246,0.97217,0.97899,0.98562,0.68951,1.22806,0.48632,1.23218,0.005248,0.005248,0.005248
50,13452.3,1.08845,0.5399,1.15604,0.97311,0.98132,0.98602,0.69159,1.22567,0.48312,1.23165,0.005149,0.005149,0.005149
51,13715.8,1.08064,0.54183,1.15579,0.9746,0.98198,0.98626,0.69045,1.22718,0.48165,1.2312,0.00505,0.00505,0.00505
52,13985,1.08901,0.54018,1.15085,0.97314,0.9801,0.98589,0.69046,1.22431,0.48351,1.22934,0.004951,0.004951,0.004951
53,14266.7,1.08201,0.53515,1.15246,0.97497,0.98104,0.98628,0.69317,1.22088,0.48088,1.22729,0.004852,0.004852,0.004852
54,14533.3,1.07978,0.53811,1.1521,0.97453,0.97923,0.98612,0.69282,1.223,0.48042,1.22838,0.004753,0.004753,0.004753
55,14801.1,1.07011,0.52693,1.14622,0.97375,0.97926,0.98578,0.69322,1.22199,0.47949,1.22753,0.004654,0.004654,0.004654
56,15075.2,1.0722,0.52959,1.14741,0.97187,0.97929,0.98564,0.69388,1.22059,0.47973,1.22706,0.004555,0.004555,0.004555
57,15339.3,1.06384,0.5321,1.14419,0.97141,0.97988,0.98587,0.69367,1.21995,0.47832,1.22743,0.004456,0.004456,0.004456
58,15616,1.06434,0.52922,1.14194,0.97036,0.97888,0.98575,0.69393,1.22005,0.4781,1.22817,0.004357,0.004357,0.004357
59,15884.7,1.06527,0.53168,1.1439,0.96977,0.9771,0.98559,0.69587,1.21881,0.47748,1.22748,0.004258,0.004258,0.004258
60,16151,1.05965,0.52654,1.1389,0.97132,0.97658,0.98571,0.6975,1.21881,0.47741,1.22773,0.004159,0.004159,0.004159
61,16415.9,1.06227,0.52467,1.14443,0.9692,0.9805,0.98584,0.69612,1.21922,0.47628,1.22848,0.00406,0.00406,0.00406
62,16685,1.05562,0.51979,1.13948,0.97017,0.98091,0.98593,0.69641,1.21933,0.47567,1.22943,0.003961,0.003961,0.003961
63,16962.4,1.05532,0.52323,1.138,0.97137,0.9805,0.98583,0.69658,1.21895,0.47394,1.22914,0.003862,0.003862,0.003862
64,17228.7,1.04355,0.51285,1.13283,0.97083,0.97969,0.98581,0.69641,1.21895,0.47229,1.22895,0.003763,0.003763,0.003763
65,17507.6,1.04421,0.51298,1.13303,0.97178,0.97906,0.98539,0.69665,1.2179,0.47195,1.228,0.003664,0.003664,0.003664
66,17770.6,1.03769,0.5114,1.13,0.9714,0.97939,0.98535,0.69639,1.21732,0.47165,1.22772,0.003565,0.003565,0.003565
67,18038,1.03416,0.51425,1.12728,0.97135,0.97784,0.98542,0.69713,1.21731,0.47115,1.22756,0.003466,0.003466,0.003466
68,18306.7,1.03089,0.50637,1.12694,0.97054,0.9801,0.98517,0.69746,1.21771,0.47135,1.22812,0.003367,0.003367,0.003367
69,18570.1,1.03489,0.50568,1.12528,0.97104,0.98065,0.98529,0.69737,1.21748,0.47074,1.22803,0.003268,0.003268,0.003268
70,18844.7,1.0307,0.50151,1.12318,0.96826,0.9801,0.98486,0.69827,1.21679,0.47004,1.2273,0.003169,0.003169,0.003169
71,19111.3,1.0266,0.50484,1.12245,0.9716,0.97644,0.985,0.69833,1.21612,0.46976,1.22709,0.00307,0.00307,0.00307
72,19379.5,1.02372,0.50038,1.11998,0.97101,0.97685,0.98567,0.69965,1.21553,0.4691,1.22679,0.002971,0.002971,0.002971
73,19656,1.02306,0.49991,1.12145,0.97131,0.97629,0.98567,0.70017,1.2149,0.46893,1.22635,0.002872,0.002872,0.002872
74,19922.5,1.01257,0.49413,1.11703,0.97087,0.97563,0.98506,0.69945,1.21492,0.46771,1.22618,0.002773,0.002773,0.002773
75,20185.7,1.01253,0.49776,1.11846,0.97128,0.97563,0.98567,0.69931,1.21476,0.46791,1.22609,0.002674,0.002674,0.002674
76,20460.6,1.00516,0.49328,1.11057,0.97197,0.97604,0.98585,0.69971,1.21438,0.46758,1.22575,0.002575,0.002575,0.002575
77,20738.7,1.00692,0.49014,1.11207,0.9717,0.97611,0.98587,0.70068,1.21358,0.46754,1.22532,0.002476,0.002476,0.002476
78,21016.7,1.0007,0.4908,1.10791,0.97145,0.97644,0.98578,0.69983,1.21365,0.46706,1.22558,0.002377,0.002377,0.002377
79,21288.6,1.00568,0.49086,1.11227,0.97145,0.97685,0.98583,0.70043,1.21327,0.46713,1.22551,0.002278,0.002278,0.002278
80,21552.2,0.99224,0.48365,1.10788,0.97145,0.97644,0.98599,0.70065,1.21308,0.46693,1.22567,0.002179,0.002179,0.002179
81,21833.4,0.99438,0.48773,1.11002,0.97094,0.97604,0.98569,0.70103,1.21255,0.46648,1.22554,0.00208,0.00208,0.00208
82,22097,0.98457,0.48085,1.10163,0.97101,0.97644,0.98605,0.70068,1.21288,0.46621,1.22591,0.001981,0.001981,0.001981
83,22363.4,0.9837,0.47785,1.09948,0.97108,0.97644,0.98603,0.70117,1.2128,0.46611,1.22604,0.001882,0.001882,0.001882
84,22628,0.98216,0.47838,1.10116,0.97221,0.97563,0.98604,0.70213,1.21219,0.46532,1.22567,0.001783,0.001783,0.001783
85,22902.1,0.97575,0.47639,1.09985,0.9727,0.97563,0.98602,0.70212,1.2118,0.46472,1.2254,0.001684,0.001684,0.001684
86,23166.1,0.97332,0.47303,1.09576,0.97223,0.97563,0.98601,0.70216,1.21154,0.46423,1.22522,0.001585,0.001585,0.001585
87,23430,0.96995,0.47123,1.09737,0.97207,0.97534,0.98567,0.70146,1.21188,0.46397,1.22524,0.001486,0.001486,0.001486
88,23712.8,0.95856,0.46878,1.09125,0.97232,0.97522,0.98566,0.70246,1.21159,0.46366,1.22503,0.001387,0.001387,0.001387
89,23984.5,0.95854,0.4674,1.09117,0.97285,0.97517,0.98501,0.70309,1.21148,0.46331,1.22483,0.001288,0.001288,0.001288
90,24257.7,0.96159,0.46733,1.09577,0.97342,0.97563,0.98561,0.7025,1.21103,0.46318,1.22457,0.001189,0.001189,0.001189
91,24503.5,0.92358,0.40067,1.11642,0.97368,0.97678,0.98596,0.70316,1.21083,0.46291,1.2247,0.00109,0.00109,0.00109
92,24743,0.91245,0.39622,1.10976,0.97407,0.97604,0.98599,0.70349,1.21056,0.4619,1.22476,0.000991,0.000991,0.000991
93,24982.7,0.89968,0.39042,1.10385,0.9743,0.97644,0.98593,0.70438,1.21025,0.46195,1.22455,0.000892,0.000892,0.000892
94,25219.2,0.88726,0.38402,1.09684,0.97457,0.97685,0.98597,0.70464,1.21046,0.46139,1.22485,0.000793,0.000793,0.000793
95,25461.2,0.89122,0.3852,1.10014,0.97413,0.97725,0.98596,0.70482,1.21014,0.46086,1.2247,0.000694,0.000694,0.000694
96,25708.1,0.88347,0.3837,1.09443,0.97489,0.97787,0.98606,0.70497,1.20981,0.46087,1.22451,0.000595,0.000595,0.000595
97,25948.1,0.8751,0.38026,1.09099,0.97453,0.979,0.98605,0.70524,1.20969,0.46047,1.22455,0.000496,0.000496,0.000496
98,26193.8,0.86553,0.37447,1.08482,0.97413,0.97866,0.98597,0.70656,1.20931,0.46076,1.22428,0.000397,0.000397,0.000397
99,26435.7,0.86567,0.37358,1.08651,0.97373,0.97871,0.98596,0.70657,1.20931,0.46043,1.22461,0.000298,0.000298,0.000298
100,26673.5,0.86259,0.37213,1.08547,0.9734,0.97847,0.98587,0.70644,1.20895,0.46003,1.22423,0.000199,0.000199,0.000199
