epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2640.72,1.07133,0.53034,1.1304,0.97593,0.98228,0.98375,0.69499,1.1,0.4938,1.14664,0.005842,0.005842,0.005842
44,2702.03,1.0656,0.53254,1.12463,0.9807,0.98464,0.98629,0.69767,1.10853,0.49098,1.15844,0.005743,0.005743,0.005743
45,2763.52,1.06073,0.53259,1.12645,0.97769,0.98207,0.98572,0.68768,1.11626,0.49329,1.15675,0.005644,0.005644,0.005644
46,2824.74,1.05382,0.52676,1.1206,0.97743,0.98643,0.98587,0.69112,1.11593,0.46907,1.15021,0.005545,0.005545,0.005545
47,2885.76,1.0579,0.52222,1.1311,0.97901,0.98643,0.98612,0.70862,1.09806,0.47617,1.14401,0.005446,0.005446,0.005446
48,2947.08,1.05417,0.52478,1.12321,0.9777,0.98401,0.98441,0.70416,1.09533,0.48186,1.15327,0.005347,0.005347,0.005347
49,3008.21,1.05373,0.52577,1.12904,0.97467,0.98256,0.98388,0.6959,1.07937,0.48167,1.15115,0.005248,0.005248,0.005248
50,3069.21,1.04417,0.52493,1.11561,0.97656,0.98353,0.98561,0.70861,1.08825,0.48392,1.14,0.005149,0.005149,0.005149
51,3130.45,1.04105,0.52137,1.11435,0.97636,0.9804,0.98429,0.70852,1.07335,0.47846,1.14056,0.00505,0.00505,0.00505
52,3191.8,1.04035,0.51633,1.12024,0.97928,0.98486,0.9854,0.71035,1.07439,0.47645,1.15421,0.004951,0.004951,0.004951
53,3253.23,1.04142,0.52132,1.12081,0.97745,0.98401,0.98596,0.7131,1.07014,0.46243,1.1401,0.004852,0.004852,0.004852
54,3314.79,1.03498,0.51679,1.11898,0.97847,0.98353,0.98594,0.7089,1.0808,0.46518,1.14275,0.004753,0.004753,0.004753
55,3376.65,1.03579,0.51597,1.11866,0.97939,0.98595,0.98649,0.71244,1.07177,0.47069,1.15109,0.004654,0.004654,0.004654
56,3437.96,1.03752,0.51527,1.11377,0.97404,0.9816,0.98508,0.70685,1.07311,0.47638,1.14547,0.004555,0.004555,0.004555
57,3499.24,1.02576,0.5134,1.11689,0.97735,0.98263,0.98454,0.70799,1.07406,0.47132,1.14774,0.004456,0.004456,0.004456
58,3560.55,1.02407,0.51517,1.11389,0.97683,0.98066,0.98523,0.71359,1.06927,0.46638,1.1388,0.004357,0.004357,0.004357
59,3622.13,1.02309,0.50721,1.11455,0.97735,0.98271,0.98523,0.71595,1.06967,0.45228,1.143,0.004258,0.004258,0.004258
60,3683.63,1.02037,0.50723,1.10954,0.97648,0.98207,0.98624,0.7121,1.07926,0.45393,1.14124,0.004159,0.004159,0.004159
61,3744.99,1.02082,0.50732,1.10895,0.97593,0.98304,0.98628,0.71316,1.06912,0.45947,1.13694,0.00406,0.00406,0.00406
62,3806.49,1.01219,0.50385,1.10555,0.97769,0.9845,0.98634,0.71464,1.06553,0.45739,1.13592,0.003961,0.003961,0.003961
63,3867.84,1.01775,0.50505,1.11789,0.97736,0.98311,0.98594,0.71358,1.07106,0.45938,1.14897,0.003862,0.003862,0.003862
64,3929.4,1.01611,0.50499,1.11125,0.97495,0.98053,0.98549,0.71512,1.07606,0.46101,1.15074,0.003763,0.003763,0.003763
