epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4694.2,1.01019,0.50382,1.10013,0.97551,0.98443,0.98682,0.71886,1.10204,0.48334,1.15639,0.005842,0.005842,0.005842
44,4803.35,1.0052,0.49451,1.10534,0.97262,0.98304,0.98614,0.72251,1.09889,0.48311,1.15953,0.005743,0.005743,0.005743
45,4912.13,1.00549,0.49375,1.10464,0.97407,0.9829,0.98609,0.72166,1.09505,0.48316,1.16215,0.005644,0.005644,0.005644
46,5020.67,0.99375,0.49303,1.09992,0.97527,0.98401,0.98664,0.7215,1.09361,0.48002,1.16272,0.005545,0.005545,0.005545
47,5128.66,0.99648,0.48967,1.09299,0.97363,0.98388,0.98667,0.72111,1.09564,0.47931,1.16123,0.005446,0.005446,0.005446
48,5237.11,0.99709,0.48909,1.09752,0.97462,0.98304,0.98654,0.72282,1.09481,0.47856,1.16032,0.005347,0.005347,0.005347
49,5348.19,0.99195,0.48998,1.09557,0.97421,0.98304,0.98646,0.72408,1.09303,0.47796,1.15986,0.005248,0.005248,0.005248
50,5456.43,0.98401,0.48972,1.10079,0.9743,0.98256,0.98648,0.7249,1.0893,0.47809,1.15914,0.005149,0.005149,0.005149
51,5565.06,0.98522,0.48308,1.08829,0.97447,0.98256,0.98641,0.72618,1.08752,0.4771,1.15949,0.00505,0.00505,0.00505
52,5675.87,0.97794,0.47882,1.08901,0.97457,0.98256,0.98637,0.72651,1.08669,0.47507,1.16132,0.004951,0.004951,0.004951
53,5785.21,0.97575,0.47814,1.08822,0.97545,0.98196,0.98654,0.7267,1.08707,0.47354,1.16307,0.004852,0.004852,0.004852
54,5896.5,0.97179,0.47598,1.0937,0.97545,0.98181,0.98657,0.72761,1.08581,0.47274,1.16528,0.004753,0.004753,0.004753
55,6004.92,0.97304,0.48124,1.0864,0.97595,0.98317,0.98693,0.7278,1.08595,0.47359,1.16539,0.004654,0.004654,0.004654
56,6112.94,0.96935,0.477,1.08926,0.97596,0.98328,0.98685,0.72771,1.08526,0.47285,1.16437,0.004555,0.004555,0.004555
57,6221.28,0.95825,0.47172,1.08009,0.97619,0.98256,0.98683,0.72702,1.08474,0.47255,1.16289,0.004456,0.004456,0.004456
58,6329.68,0.96163,0.47389,1.0765,0.97587,0.98353,0.9869,0.72725,1.08466,0.47166,1.163,0.004357,0.004357,0.004357
59,6439.41,0.95967,0.47704,1.0815,0.97576,0.98353,0.98697,0.72746,1.08345,0.47188,1.16195,0.004258,0.004258,0.004258
60,6551.2,0.94798,0.46032,1.06666,0.97576,0.98353,0.98705,0.72693,1.08412,0.47082,1.1617,0.004159,0.004159,0.004159
61,6660.68,0.94961,0.46378,1.06753,0.97592,0.98353,0.98701,0.72791,1.08424,0.47008,1.16136,0.00406,0.00406,0.00406
62,6769.29,0.94316,0.46153,1.06823,0.97689,0.98401,0.98699,0.72831,1.08455,0.46963,1.16166,0.003961,0.003961,0.003961
63,6878.31,0.94664,0.46502,1.06812,0.97572,0.98353,0.98701,0.72889,1.08499,0.46896,1.16103,0.003862,0.003862,0.003862
64,6987.13,0.94753,0.46518,1.06928,0.97461,0.98304,0.98666,0.72944,1.08469,0.46843,1.16028,0.003763,0.003763,0.003763
