epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.3687,1.62474,2.15114,1.43075,0.91795,0.93778,0.95847,0.52874,1.38258,1.2421,1.2258,0.00331439,0.00331439,0.00331439
2,125.841,1.36483,1.19476,1.18863,0.8278,0.90359,0.92692,0.51287,1.34632,1.03525,1.19253,0.00658191,0.00658191,0.00658191
3,186.396,1.36014,0.95418,1.17912,0.7385,0.7093,0.82118,0.42975,1.46262,1.2213,1.29162,0.00978344,0.00978344,0.00978344
4,247.254,1.35624,0.84672,1.20213,0.90605,0.9094,0.95382,0.51546,1.54361,0.83952,1.30702,0.009703,0.009703,0.009703
5,309.436,1.31955,0.78134,1.19887,0.89135,0.92612,0.93792,0.52666,1.3853,0.85562,1.22643,0.009604,0.009604,0.009604
6,371.502,1.2892,0.73419,1.19039,0.90148,0.94431,0.93023,0.4964,1.51605,0.79415,1.25842,0.009505,0.009505,0.009505
